CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE;INPUT
321410;381164;31494;42565;178894;2685;0;1936
294616;341307;27465;40985;171753;0;0;1944
297179;345702;27222;40478;168456;0;0;1952
298827;358275;30335;41306;177245;0;0;1960
299193;352538;28198;40519;167725;0;0;1968
349669;456237;41992;41008;184509;2503;0;1976
329650;391052;34729;42208;187194;2929;0;1984
333679;393798;33264;44181;189574;2136;0;1992
349486;396178;39490;42226;189514;2441;0;2000
306335;362426;30945;43035;185241;0;0;2008
319274;375060;28503;42715;179382;0;0;2016
314452;367126;31616;42731;185669;0;0;2024
322692;382323;33569;43324;187865;0;0;2032
318115;371825;31433;42870;184020;0;0;2040
310058;393614;35522;42140;182556;61;0;2048
340759;403198;35705;43854;192993;2991;0;2056
350036;410888;35705;44550;197204;2503;0;2064
342346;403136;35095;43848;189941;2258;0;2072
349608;399718;33996;45049;192382;2014;0;2080
327148;377562;32166;44334;191955;1037;0;2088
408751;474791;40466;44115;198791;0;0;2096
325743;386778;30579;44415;189087;0;0;2104
334594;394530;32105;45053;190918;0;0;2112
363769;475280;42541;44661;196166;0;0;2120
332152;383422;32104;45272;195740;0;0;2128
326354;382811;33752;44425;196411;0;0;2136
336181;393187;33875;45297;193542;0;0;2144
333373;403624;35339;45535;197815;0;0;2152
357421;432555;38757;45156;199767;2746;0;2160
430174;498900;44983;46952;208618;2686;0;2168
372741;434752;36071;46946;198486;2197;0;2176
372496;437743;39368;48492;215514;2808;0;2184
361511;423278;34851;46740;199584;2258;0;2192
520812;626158;53467;52124;237487;2136;0;2200
365234;429503;35462;47477;199523;2197;0;2208
351501;404479;31983;48654;206237;1465;0;2216
349365;407409;31982;48360;201659;0;0;2224
349974;410522;32532;47218;200073;0;0;2232
351745;414610;33142;47667;198852;0;0;2240
350707;407409;34302;47961;202758;0;0;2248
353881;416502;33997;48392;206664;0;0;2256
358519;424377;35705;48970;209045;0;0;2264
360961;415465;33447;48544;203613;0;0;2272
363341;428038;32898;48754;204955;0;0;2280
369872;436095;34363;49263;206604;0;0;2288
363586;425231;33569;49331;209044;0;0;2296
380614;443236;37964;50298;221679;0;0;2304
364989;427856;35644;49398;214416;0;0;2312
374267;436766;34424;50332;212219;0;0;2320
372985;445250;34973;50353;214416;0;0;2328
379699;453612;38574;50901;216369;0;0;2336
375610;448913;39001;50319;216125;0;0;2344
377685;450683;38086;51177;218627;0;0;2352
377990;447752;37903;51293;223693;0;0;2360
397399;458190;35828;51957;217102;0;0;2368
381225;453063;34851;51539;212951;0;0;2376
398986;492308;43518;51829;224791;61;0;2384
387145;465575;39490;51617;217956;0;0;2392
386107;456908;37903;52278;219848;0;0;2400
389159;455077;36926;52326;219787;0;0;2408
393920;461181;36255;53178;224731;0;0;2416
394530;460998;36071;53146;222228;0;0;2424
405639;475157;39856;53206;227416;0;0;2432
394286;464476;37231;53156;222289;0;0;2440
400512;472045;37537;53721;222106;0;0;2448
