CORE,CPU,DRAM,DURATION,PSYS,UNCORE,EXIT_CODE,INPUT
30909894,34613742,3456229,2221688,10782565,6714,0,1744
31176067,34722323,3073906,2203242,10557713,6958,0,1752
32029337,35992461,3878835,2303742,11269136,7263,0,1760
32129495,35970855,3556082,2306657,11195772,3967,0,1768
32921424,37015531,4063771,2359916,11581025,8057,0,1776
33201820,37293362,3986196,2392339,11702240,6653,0,1784
32877357,36687711,3400016,2348990,11287996,5188,0,1792
34129246,38235559,3853444,2445976,11873871,6897,0,1800
34969820,39288534,4196949,2520265,12299590,4395,0,1808
35344331,39750874,4332753,2547333,12494719,6775,0,1816
35254243,39586813,4183156,2541732,12409209,7324,0,1824
35745880,40081501,4078236,2582842,12515898,7142,0,1832
36138518,40505939,4128408,2599868,12620634,7202,0,1840
37430324,42237074,4956897,2715192,13427578,7630,0,1848
37095486,41689957,4470142,2689164,13148282,5859,0,1856
38315881,43296398,5237841,2770089,13791041,7141,0,1864
37813990,42396986,4280445,2740756,13290066,7629,0,1872
38985008,43974985,5101489,2822510,13961818,9460,0,1880
39455709,44637459,5449999,2877112,14321741,12818,0,1888
38973655,43691233,4390430,2827339,13696926,9461,0,1896
39656270,44268563,4049795,2847110,13673976,5981,0,1904
40860186,45987004,5033739,2974156,14567894,7935,0,1912
41555680,46887820,5465745,3027940,14937645,7935,0,1920
41940322,47180909,5146593,3045284,14911278,8606,0,1928
41314347,45966862,3832815,2971750,14115809,3296,0,1936
42411634,47585083,4849536,3086438,14967613,8301,0,1944
44394295,50368829,6510603,3235492,16213338,9034,0,1952
43499950,49078121,5609665,3197249,15733358,11291,0,1960
44928230,51003532,6641279,3288378,16480915,1709,0,1968
45717962,51975269,6892988,3360909,16925921,8789,0,1976
44539925,49944757,4984850,3252121,15709310,9033,0,1984
45456670,51024588,5266405,3310470,16068807,7263,0,1992
45243720,50080255,3563101,3232251,15110191,0,0,2000
47268678,53425828,6379805,3455386,17126971,9949,0,2008
47273438,53340440,6117721,3472108,17101763,10498,0,2016
47931274,53907698,5782395,3500124,17089739,10254,0,2024
48675107,54974590,6432113,3569321,17620072,10010,0,2032
50107416,56728065,6986615,3671410,18276259,9827,0,2040
49398982,55926309,7207440,3647264,17784745,8728,0,2048
51016532,57748265,7085492,3743168,18603651,8667,0,2056
50524163,56877356,6149581,3707806,18097793,10254,0,2064
51447623,58002476,6510909,3773576,18515944,8118,0,2072
